DonorID,StateCode,CountyCode,TractCode,MSA,CensusYear
107694,25,021,4151.02,14454,2015
7608,25,021,4152.00,14454,2015
49176,25,021,4025.00,14454,2015
11422,25,021,4051.00,14454,2015
99071,25,021,4112.00,14454,2015
8048,25,023,5012.02,14454,2015
108296,25,023,5001.01,14454,2015
1459,25,021,4061.01,14454,2015
105403,25,021,4091.02,14454,2015
73829,25,021,4134.01,14454,2015
110140,25,023,5051.02,14454,2015
5592,25,023,5051.02,14454,2015
12637,25,021,4141.00,14454,2015
109461,25,021,4142.00,14454,2015
12638,25,021,4143.00,14454,2015
101621,25,021,4564.01,14454,2015
109657,25,021,4113.01,14454,2015
8475,25,021,4122.00,14454,2015
104462,25,021,4122.00,14454,2015
933,25,025,0201.01,14454,2015
108862,25,025,0201.01,14454,2015
4723,25,025,0303.00,14454,2015
11667,25,025,0303.00,14454,2015
100661,25,025,0303.00,14454,2015
90969,25,025,0303.00,14454,2015
69927,25,025,0303.00,14454,2015
7048,25,025,0701.01,14454,2015
111202,25,025,0201.01,14454,2015
101594,25,025,0105.00,14454,2015
109820,25,025,0104.05,14454,2015
104067,25,025,0810.01,14454,2015
12674,25,025,0809.00,14454,2015
2877,25,025,0105.00,14454,2015
106523,25,025,0105.00,14454,2015
6717,25,025,0104.03,14454,2015
12696,25,025,0108.02,14454,2015
12680,25,025,0108.02,14454,2015
3380,25,025,0104.03,14454,2015
32862,25,025,0106.00,14454,2015
107727,25,025,0106.00,14454,2015
106479,25,025,0707.00,14454,2015
38302,25,025,0705.00,14454,2015
9370,25,025,0708.00,14454,2015
96722,25,025,0817.00,14454,2015
97040,25,025,0906.00,14454,2015
23134,25,025,0818.00,14454,2015
CW14146,25,025,0817.00,14454,2015
108442,25,025,0814.00,14454,2015
12709,25,025,0817.00,14454,2015
CW14816,25,025,0817.00,14454,2015
10120,25,025,0817.00,14454,2015
54424,25,025,0814.00,14454,2015
40838,25,025,0819.00,14454,2015
109535,25,025,0814.00,14454,2015
12718,25,025,0805.00,14454,2015
38509,25,025,0804.01,14454,2015
103153,25,025,0820.00,14454,2015
17707,25,025,0903.00,14454,2015
91687,25,025,0918.00,14454,2015
112161,25,025,0820.00,14454,2015
91120,25,025,0901.00,14454,2015
CW16700,25,025,0820.00,14454,2015
103856,25,025,0901.00,14454,2015
12733,25,025,0819.00,14454,2015
102080,25,025,0921.01,14454,2015
106362,25,025,0920.00,14454,2015
11580,25,025,0922.00,14454,2015
109993,25,025,1003.00,14454,2015
98651,25,025,1004.00,14454,2015
6796,25,025,0924.00,14454,2015
106420,25,025,1004.00,14454,2015
101496,25,025,1001.00,14454,2015
CW14599,25,025,1002.00,14454,2015
107146,25,025,1005.00,14454,2015
100155,25,025,1008.00,14454,2015
30859,25,025,1004.00,14454,2015
105500,25,025,0924.00,14454,2015
5632,25,025,0923.00,14454,2015
94552,25,025,0910.01,14454,2015
99768,25,025,0915.00,14454,2015
105365,25,025,0914.00,14454,2015
112908,25,025,0909.01,14454,2015
105764,25,025,1010.01,14454,2015
94374,25,025,1011.01,14454,2015
48302,25,025,1011.01,14454,2015
103391,25,025,1010.01,14454,2015
98913,25,025,1010.02,14454,2015
106681,25,025,1011.02,14454,2015
112762,25,025,1011.02,14454,2015
100457,25,025,1011.02,14454,2015
6874,25,025,0510.00,14454,2015
10068,25,025,1106.01,14454,2015
12768,25,025,1204.00,14454,2015
11527,25,025,1207.00,14454,2015
6811,25,025,1201.03,14454,2015
12778,25,025,1202.01,14454,2015
19951,25,025,1201.03,14454,2015
2563,25,025,1204.00,14454,2015
103322,25,025,1105.02,14454,2015
100662,25,025,1103.01,14454,2015
52389,25,025,1104.03,14454,2015
3273,25,025,1302.00,14454,2015
63464,25,025,1301.00,14454,2015
9902,25,025,0006.02,14454,2015
103172,25,025,0006.02,14454,2015
3499,25,025,0002.01,14454,2015
113091,25,025,1401.07,14454,2015
105829,25,025,1403.00,14454,2015
101325,25,025,1404.00,14454,2015
101476,25,025,1404.00,14454,2015
652,25,025,1402.02,14454,2015
12802,25,017,3537.00,15764,2015
12805,25,017,3545.00,15764,2015
108327,25,017,3541.00,15764,2015
2837,25,017,3544.00,15764,2015
12808,25,017,3546.00,15764,2015
4966,25,017,3542.00,15764,2015
12812,25,017,3542.00,15764,2015
33527,25,017,3536.00,15764,2015
111670,25,017,3546.00,15764,2015
12819,25,017,3542.00,15764,2015
3329,25,017,3541.00,15764,2015
12822,25,017,3541.00,15764,2015
51153,25,017,3542.00,15764,2015
8588,25,017,3542.00,15764,2015
12830,25,017,3537.00,15764,2015
12832,25,017,3536.00,15764,2015
6531,25,017,3541.00,15764,2015
4212,25,017,3536.00,15764,2015
50758,25,017,3544.00,15764,2015
12856,25,017,3541.00,15764,2015
13229,25,017,3541.00,15764,2015
100171,25,017,3544.00,15764,2015
12868,25,017,3536.00,15764,2015
4731,25,017,3541.00,15764,2015
12784,25,017,3542.00,15764,2015
10023,25,017,3533.00,15764,2015
3718,25,017,3529.00,15764,2015
7023,25,017,3532.00,15764,2015
90052,25,017,3530.00,15764,2015
111649,25,017,3538.00,15764,2015
12897,25,017,3530.00,15764,2015
108645,25,017,3531.02,15764,2015
54547,25,017,3532.00,15764,2015
112782,25,017,3531.01,15764,2015
3021,25,017,3545.00,15764,2015
CW21589,25,017,3549.00,15764,2015
82313,25,017,3545.00,15764,2015
4086,25,017,3548.00,15764,2015
109409,25,017,3526.00,15764,2015
113212,25,017,3511.00,15764,2015
100147,25,017,3515.00,15764,2015
104453,25,017,3512.03,15764,2015
13094,25,017,3515.00,15764,2015
102420,25,017,3504.00,15764,2015
36723,25,017,3503.00,15764,2015
53060,25,017,3418.00,15764,2015
CW16331,25,017,3416.00,15764,2015
100685,25,017,3423.00,15764,2015
2459,25,017,3424.00,15764,2015
12987,25,017,3421.02,15764,2015
11935,25,025,1707.02,14454,2015
4175,25,025,1708.00,14454,2015
12995,25,025,1802.00,14454,2015
112159,25,017,3394.00,15764,2015
13013,25,017,3399.00,15764,2015
12012,25,017,3392.00,15764,2015
112026,25,017,3391.00,15764,2015
13017,25,017,3391.00,15764,2015
29873,25,017,3392.00,15764,2015
92873,25,017,3397.00,15764,2015
CW14450,25,021,4180.02,14454,2015
106062,25,021,4181.02,14454,2015
13250,25,021,4179.01,14454,2015
104667,25,021,4180.02,14454,2015
13128,25,021,4174.00,14454,2015
82307,25,021,4162.00,14454,2015
13244,25,021,4163.00,14454,2015
99503,25,021,4162.00,14454,2015
101943,25,021,4161.01,14454,2015
83369,25,021,4163.00,14454,2015
110423,25,021,4162.00,14454,2015
106432,25,021,4224.00,14454,2015
11822,25,021,4225.02,14454,2015
102869,25,025,0106.00,14454,2015
77609,25,025,0101.04,14454,2015
13382,25,023,5117.01,14454,2015
CW12373,25,023,5113.01,14454,2015
92555,25,023,5071.04,14454,2015
74187,25,023,5071.04,14454,2015
103955,25,023,5071.01,14454,2015
13306,25,021,4212.00,14454,2015
106427,25,023,5309.02,14454,2015
102341,25,023,5304.00,14454,2015
11722,25,021,4211.00,14454,2015
105576,25,021,4202.02,14454,2015
109087,25,021,4203.02,14454,2015
CW13998,25,021,4201.00,14454,2015
96774,25,021,4203.01,14454,2015
13315,25,021,4202.01,14454,2015
102412,25,021,4203.01,14454,2015
103478,25,021,4201.00,14454,2015
99055,25,021,4201.00,14454,2015
4266,25,005,6001.00,39300,2015
113492,25,023,5241.02,14454,2015
13142,25,017,3587.00,15764,2015
6570,25,017,3586.00,15764,2015
11959,25,017,3585.00,15764,2015
13158,25,017,3587.00,15764,2015
109254,25,017,3587.00,15764,2015
4481,25,017,3583.00,15764,2015
13147,25,017,3584.00,15764,2015
13151,25,017,3583.00,15764,2015
112965,25,017,3584.00,15764,2015
11916,25,017,3586.00,15764,2015
4382,25,017,3583.00,15764,2015
5611,25,017,3583.00,15764,2015
5596,25,017,3583.00,15764,2015
13160,25,017,3581.00,15764,2015
13166,25,017,3583.00,15764,2015
13170,25,017,3583.00,15764,2015
12934,25,021,4006.00,14454,2015
5085,25,021,4006.00,14454,2015
12936,25,021,4006.00,14454,2015
13083,25,021,4006.00,14454,2015
109365,25,021,4005.00,14454,2015
94295,25,021,4007.00,14454,2015
101196,25,021,4007.00,14454,2015
12953,25,021,4007.00,14454,2015
110903,25,021,4006.00,14454,2015
100816,25,021,4011.00,14454,2015
89937,25,021,4010.00,14454,2015
12966,25,021,4009.00,14454,2015
51156,25,021,4011.00,14454,2015
7109,25,021,4007.00,14454,2015
94228,25,021,4006.00,14454,2015
12977,25,021,4011.00,14454,2015
5612,25,021,4005.00,14454,2015
CW16645,25,021,4007.00,14454,2015
13110,25,021,4002.00,14454,2015
7914,25,021,4004.00,14454,2015
4944,25,021,4001.00,14454,2015
11516,25,021,4002.00,14454,2015
107356,25,021,4005.00,14454,2015
12967,25,021,4001.00,14454,2015
50289,25,021,4008.00,14454,2015
12972,25,021,4005.00,14454,2015
110782,25,021,4004.00,14454,2015
103873,25,021,4005.00,14454,2015
49074,25,017,3681.02,15764,2015
13002,25,017,3689.02,15764,2015
106754,25,017,3732.00,15764,2015
112777,25,017,3735.00,15764,2015
106512,25,017,3734.00,15764,2015
13037,25,017,3735.00,15764,2015
4490,25,017,3737.00,15764,2015
102659,25,017,3740.00,15764,2015
113179,25,017,3739.00,15764,2015
113330,25,017,3738.00,15764,2015
69443,25,017,3740.00,15764,2015
13022,25,017,3738.00,15764,2015
13042,25,017,3736.00,15764,2015
7041,25,017,3737.00,15764,2015
13050,25,017,3737.00,15764,2015
6123,25,017,3745.00,15764,2015
111706,25,017,3733.00,15764,2015
96924,25,017,3734.00,15764,2015
4498,25,017,3742.00,15764,2015
9848,25,017,3741.00,15764,2015
12052,25,017,3741.00,15764,2015
102662,25,017,3745.00,15764,2015
CW15094,25,017,3746.00,15764,2015
3887,25,017,3744.00,15764,2015
21875,25,017,3745.00,15764,2015
106563,25,017,3745.00,15764,2015
13069,25,017,3744.00,15764,2015
3955,25,017,3746.00,15764,2015
9914,25,017,3745.00,15764,2015
5578,25,017,3748.00,15764,2015
13076,25,017,3748.00,15764,2015
5566,25,017,3747.00,15764,2015
9426,25,017,3747.00,15764,2015
92462,25,017,3747.00,15764,2015
107758,25,017,3748.00,15764,2015
568,25,017,3748.00,15764,2015
13079,25,017,3747.00,15764,2015
8898,25,017,3748.00,15764,2015
2839,25,017,3748.00,15764,2015
103833,25,017,3748.00,15764,2015
102606,25,017,3735.00,15764,2015
11325,25,021,4012.00,14454,2015
9323,25,021,4012.00,14454,2015
13098,25,021,4012.00,14454,2015
2737,25,017,3739.00,15764,2015
12422,25,017,3744.00,15764,2015
111694,25,017,3742.00,15764,2015
789,25,017,3744.00,15764,2015
13121,25,017,3743.00,15764,2015
13130,25,017,3702.02,15764,2015
13132,25,017,3703.00,15764,2015
12113,25,017,3702.02,15764,2015
102676,25,017,3701.02,15764,2015
13118,25,017,3703.00,15764,2015
55724,25,017,3565.00,15764,2015
110265,25,017,3564.00,15764,2015
13182,25,017,3567.01,15764,2015
13183,25,017,3567.01,15764,2015
29345,25,017,3567.01,15764,2015
CW16804,25,017,3566.01,15764,2015
13179,25,017,3567.02,15764,2015
11626,25,017,3567.02,15764,2015
56595,25,017,3567.02,15764,2015
7577,25,017,3567.02,15764,2015
113163,25,017,3566.02,15764,2015
3570,25,017,3572.00,15764,2015
8433,25,017,3571.00,15764,2015
9325,25,017,3573.00,15764,2015
13193,25,017,3578.00,15764,2015
5904,25,017,3577.00,15764,2015
13196,25,017,3578.00,15764,2015
13001,25,021,4042.02,14454,2015
15092,25,021,4042.02,14454,2015
13209,25,021,4044.00,14454,2015
13210,25,021,4044.00,14454,2015
1237,25,021,4044.00,14454,2015
11383,25,021,4031.00,14454,2015
13257,25,021,4034.00,14454,2015
13262,25,021,4034.00,14454,2015
102648,25,021,4034.00,14454,2015
13274,25,017,3671.00,15764,2015
13278,25,017,3672.00,15764,2015
1699,25,021,4035.00,14454,2015
113503,25,021,4035.00,14454,2015
104110,25,021,4035.00,14454,2015
106640,25,001,0137.00,12700,2015
56091,25,007,2004.00,99999,2015
111619,25,001,0147.00,12700,2015
100917,25,001,0145.00,12700,2015
108018,25,001,0145.00,12700,2015
13336,25,001,0149.00,12700,2015
1801,25,001,0153.00,12700,2015
109857,25,001,0128.00,12700,2015
13368,25,001,0107.00,12700,2015
107624,25,001,0111.00,12700,2015
108530,25,001,0151.00,12700,2015
69703,25,001,0151.00,12700,2015
109941,25,001,0105.00,12700,2015
13376,25,001,0130.02,12700,2015
11857,25,001,0120.02,12700,2015
75722,25,001,0102.06,12700,2015
98300,25,005,6317.00,39300,2015
105963,25,023,5611.00,14454,2015
109504,25,023,5601.00,14454,2015
CW19843,25,005,6518.00,39300,2015
9919,25,005,6533.04,39300,2015
1091,25,005,6111.02,39300,2015
5667,25,005,6332.00,39300,2015
113001,25,005,6322.00,39300,2015
98078,25,005,6138.00,39300,2015
9355,44,001,0302.00,39300,2015
13150,44,001,0303.00,39300,2015
13431,44,001,0304.00,39300,2015
109645,44,003,0209.04,39300,2015
102009,44,007,0132.02,39300,2015
106390,44,005,0413.00,39300,2015
9799,44,005,0411.00,39300,2015
11674,44,005,0404.00,39300,2015
111814,44,009,0504.02,39300,2015
40398,44,007,0132.02,39300,2015
68688,44,005,0401.02,39300,2015
13452,44,005,0401.02,39300,2015
6146,44,005,0401.02,39300,2015
105415,44,009,0512.01,39300,2015
12858,44,009,0512.01,39300,2015
40297,44,009,0513.06,39300,2015
3108,44,009,0513.06,39300,2015
13471,44,009,0513.06,39300,2015
13472,44,009,0513.06,39300,2015
106394,44,009,0513.06,39300,2015
103551,44,001,0306.02,39300,2015
7606,44,003,0213.00,39300,2015
12395,44,003,0213.00,39300,2015
5591,44,003,0214.02,39300,2015
5425,44,007,0173.00,39300,2015
3930,44,007,0008.00,39300,2015
98122,44,007,0029.00,39300,2015
53276,44,007,0031.00,39300,2015
110106,44,007,0118.00,39300,2015
103313,44,007,0119.02,39300,2015
106326,44,007,0004.00,39300,2015
13552,44,007,0134.00,39300,2015
9051,44,007,0004.00,39300,2015
8301,44,007,0001.02,39300,2015
108465,44,007,0035.00,39300,2015
94326,44,007,0032.00,39300,2015
31159,44,007,0035.00,39300,2015
106018,44,007,0034.00,39300,2015
13522,44,007,0033.00,39300,2015
109651,44,007,0036.01,39300,2015
49123,44,007,0031.00,39300,2015
105775,44,007,0034.00,39300,2015
56930,44,007,0033.00,39300,2015
4114,44,007,0034.00,39300,2015
13536,44,007,0036.01,39300,2015
105729,44,007,0014.00,39300,2015
35042,44,007,0023.00,39300,2015
13544,44,007,0023.00,39300,2015
106507,44,007,0103.00,39300,2015
13549,44,007,0105.02,39300,2015
7592,44,007,0106.00,39300,2015
12495,44,007,0105.02,39300,2015
112995,44,007,0101.02,39300,2015
62956,44,007,0103.00,39300,2015
98557,44,007,0127.01,39300,2015
8457,44,007,0145.01,39300,2015
13454,44,007,0146.00,39300,2015
103652,33,015,0036.02,40484,2015
9540,33,011,0027.02,31700,2015
101604,33,011,0121.00,31700,2015
111504,33,015,0038.01,40484,2015
83324,33,011,0114.02,31700,2015
13572,33,011,0112.00,31700,2015
640,33,015,1061.01,40484,2015
13580,33,011,0002.04,31700,2015
82475,33,011,0009.02,31700,2015
CW12422,33,011,0006.00,31700,2015
104666,33,011,0010.00,31700,2015
4810,33,011,0029.01,31700,2015
99464,33,003,9563.00,99999,2015
13593,33,001,9651.00,99999,2015
11669,33,009,9610.00,99999,2015
3958,33,013,0415.00,99999,2015
13656,33,013,0328.00,99999,2015
113182,33,005,9711.00,99999,2015
65640,33,011,0230.00,31700,2015
11738,33,007,9510.00,99999,2015
13628,33,009,9614.00,99999,2015
106654,33,009,9616.01,99999,2015
7514,33,009,9616.02,99999,2015
13633,33,009,9616.02,99999,2015
104626,33,009,9616.02,99999,2015
48732,33,009,9616.02,99999,2015
2454,33,009,9616.02,99999,2015
9942,33,009,9616.02,99999,2015
105370,33,009,9616.02,99999,2015
9798,33,009,9606.00,99999,2015
13794,33,019,9751.00,99999,2015
106889,33,009,9617.00,99999,2015
111228,33,015,1071.00,40484,2015
88269,33,015,1074.00,40484,2015
87312,33,017,0813.00,40484,2015
13654,33,017,0812.00,40484,2015
62595,33,017,0802.02,40484,2015
55044,33,017,0801.00,40484,2015
1222,33,015,0610.01,40484,2015
108000,33,015,1041.02,40484,2015
60578,33,015,0650.05,40484,2015
39605,33,015,0710.00,40484,2015
111046,33,003,9561.00,99999,2015
12433,23,031,0370.00,38860,2015
112724,23,031,0380.01,38860,2015
13666,23,031,0360.01,38860,2015
2949,23,005,0042.00,38860,2015
13681,23,031,0280.02,38860,2015
64404,23,031,0340.02,38860,2015
13696,23,005,0044.02,38860,2015
13698,23,005,0011.00,38860,2015
13706,23,005,0011.00,38860,2015
5597,23,005,0002.00,38860,2015
11918,23,005,0013.00,38860,2015
100680,23,005,0023.00,38860,2015
106268,23,005,0025.01,38860,2015
12248,23,005,0025.02,38860,2015
12216,23,005,0034.00,38860,2015
101646,23,001,0107.00,30340,2015
111160,23,011,0104.00,99999,2015
110889,23,011,0108.02,99999,2015
11262,23,011,0107.00,99999,2015
80880,23,019,0009.00,12620,2015
112202,23,019,0002.00,12620,2015
12318,23,019,0311.00,12620,2015
106449,23,019,0071.00,12620,2015
105998,23,019,0062.00,12620,2015
110629,23,019,0063.00,12620,2015
101550,23,009,9659.00,99999,2015
109159,23,003,9517.00,99999,2015
110950,23,013,9702.00,99999,2015
108553,50,027,9655.02,99999,2015
107402,50,027,9655.02,99999,2015
110319,50,027,9655.02,99999,2015
86229,50,027,9656.00,99999,2015
56629,50,017,9597.00,99999,2015
8484,50,027,9654.00,99999,2015
2108,50,027,9650.00,99999,2015
13784,50,017,9595.00,99999,2015
12414,50,025,9671.00,99999,2015
50927,50,003,9705.00,99999,2015
4376,50,027,9661.00,99999,2015
70399,50,003,9712.00,99999,2015
13799,50,003,9711.00,99999,2015
9341,50,003,9703.00,99999,2015
1529,50,025,9687.00,99999,2015
40425,50,025,9677.00,99999,2015
104295,50,025,9672.00,99999,2015
13833,50,007,0008.00,15540,2015
102199,50,007,0008.00,15540,2015
4311,50,007,0039.00,15540,2015
95981,50,007,0025.00,15540,2015
101537,50,007,0002.00,15540,2015
20316,50,007,0034.00,15540,2015
109821,50,007,0031.00,15540,2015
105902,50,023,9548.00,99999,2015
13859,50,023,9542.00,99999,2015
57772,50,015,9532.00,99999,2015
109187,50,015,9536.00,99999,2015
105706,50,023,9557.00,99999,2015
8582,50,023,9543.00,99999,2015
9734,50,021,9628.00,99999,2015
624,50,021,9628.00,99999,2015
93117,50,021,9632.00,99999,2015
70665,50,021,9628.00,99999,2015
11557,50,021,9640.00,99999,2015
23894,50,001,9608.00,99999,2015
22064,50,001,9608.00,99999,2015
97497,50,021,9640.00,99999,2015
13872,50,003,9703.00,99999,2015
13184,50,001,9609.00,99999,2015
88806,50,021,9635.00,99999,2015
65771,50,019,9517.00,99999,2015
1745,09,003,4622.01,25540,2015
1312,09,003,4621.01,25540,2015
76966,09,003,4621.02,25540,2015
83040,09,003,4621.01,25540,2015
86079,09,003,4622.01,25540,2015
5731,09,003,4621.01,25540,2015
2980,09,003,4621.01,25540,2015
CW16459,09,003,4622.02,25540,2015
75523,09,003,4711.00,25540,2015
35291,09,003,4714.00,25540,2015
79002,09,003,4715.00,25540,2015
13885,09,003,4713.00,25540,2015
95927,09,003,4715.00,25540,2015
40274,09,003,4713.00,25540,2015
87231,09,003,4715.00,25540,2015
CW19112,09,003,4714.00,25540,2015
13889,09,003,4714.00,25540,2015
96728,09,003,4713.00,25540,2015
13920,09,003,4715.00,25540,2015
89005,09,003,4714.00,25540,2015
75669,09,003,4715.00,25540,2015
CW21579,09,003,4711.00,25540,2015
771,09,003,4715.00,25540,2015
97921,09,003,4713.00,25540,2015
76731,09,003,4714.00,25540,2015
CW18270,09,003,4712.00,25540,2015
86007,09,003,4715.00,25540,2015
69778,09,003,4713.00,25540,2015
CW19595,09,003,4712.00,25540,2015
94554,09,003,4712.00,25540,2015
66413,09,003,4712.00,25540,2015
71433,09,003,4711.00,25540,2015
69435,09,003,4713.00,25540,2015
94524,09,003,4713.00,25540,2015
74632,09,003,4712.00,25540,2015
CW18740,09,003,4715.00,25540,2015
CW18721,09,003,4715.00,25540,2015
79667,09,003,4711.00,25540,2015
CW14591,09,003,4715.00,25540,2015
71863,09,003,4712.00,25540,2015
14027,09,003,4714.00,25540,2015
108475,09,003,4712.00,25540,2015
5116,09,003,4715.00,25540,2015
14061,09,003,4713.00,25540,2015
76722,09,003,4713.00,25540,2015
97355,09,003,4711.00,25540,2015
78319,09,003,4711.00,25540,2015
78019,09,003,4711.00,25540,2015
72627,09,003,4714.00,25540,2015
78119,09,003,4711.00,25540,2015
64546,09,003,4713.00,25540,2015
7952,09,003,4711.00,25540,2015
64547,09,003,4711.00,25540,2015
95758,09,003,4715.00,25540,2015
437,09,003,4715.00,25540,2015
CW17564,09,003,4713.00,25540,2015
48648,09,003,4713.00,25540,2015
110648,09,003,4714.00,25540,2015
CW19606,09,003,4711.00,25540,2015
CW17047,09,003,4712.00,25540,2015
76978,09,003,4715.00,25540,2015
74417,09,003,4711.00,25540,2015
74894,09,003,4711.00,25540,2015
CW18750,09,003,4711.00,25540,2015
74954,09,003,4712.00,25540,2015
88852,09,003,4714.00,25540,2015
74634,09,003,4715.00,25540,2015
