StateCode,CountyCode,TractCode,MSA,CensusYear,Minority_Population,Non_hispanic_other,Non_hispanic_asian,Non_hispanic_white,Non_hispanic_american_indian,Non_hispanic_black,Hispanics,Population,Minority_percentage,Family_count,Household_count,DistressedTractInd,Income_Indicator,Poverty_level_percentage,MSA_MFI_pct,Decennial_Trace_MHI,Decennial_MSA_MFI,HUD_est_MSA_MFI,Est_Income,sDecennial_Tract_MFI,Median_unit_age,Total_housing_units,Num_1_to_4_units,Own_occ_1_to_4_units,Owner_occupied_units,Renter_occupied_units,Units_vacant,Central_City_Flag
19,179,9602.00,99999,2015,595,53,17,2059,6,88,431,2654,22.42,636,1094,No,Moderate,31.48,62.64,27932,56190,62000,38837,35200,71,1253,1019,556,556,538,159,0
19,179,9606.00,99999,2015,483,27,27,2535,4,26,399,3018,16.00,821,1435,No,Middle,20.64,82.12,29844,56190,62000,50914,46146,61,1542,1375,1001,1001,434,107,0
19,163,0116.00,19340,2015,626,135,40,2903,8,208,235,3529,17.74,867,1446,No,Middle,23.04,87.74,43333,61723,69000,60541,54159,71,1573,1508,1074,1074,372,127,1
19,163,0119.00,19340,2015,336,61,30,2151,6,89,150,2487,13.51,607,1151,No,Middle,3.08,86.50,48024,61723,69000,59685,53393,56,1227,1129,951,951,200,76,1
19,163,0125.01,19340,2015,1145,134,169,2968,8,577,257,4113,27.84,1199,1726,No,Middle,21.78,89.14,49662,61723,69000,61507,55026,35,1755,1360,1069,1069,657,29,1
19,163,0112.00,19340,2015,692,67,69,1589,6,267,283,2281,30.34,580,957,No,Moderate,19.21,52.11,27875,61723,69000,35956,32167,68,1044,953,542,542,415,87,1
19,163,0128.01,19340,2015,1415,157,118,3263,7,903,230,4678,30.25,1147,1849,No,Middle,15.82,112.15,50188,61723,69000,77384,69226,31,1985,1325,1007,1026,823,136,1
19,163,0127.02,19340,2015,374,23,43,2791,2,175,131,3165,11.82,865,1352,No,Upper,10.41,127.25,55909,61723,69000,87803,78547,35,1489,985,859,913,439,137,1
19,163,0127.01,19340,2015,880,103,122,2320,6,491,158,3200,27.50,749,1182,No,Middle,15.86,89.06,43070,61723,69000,61451,54973,37,1331,1071,832,832,350,149,1
19,163,0129.01,19340,2015,815,75,206,3151,5,342,187,3966,20.55,850,1484,No,Upper,12.46,177.53,92500,61723,69000,122496,109583,11,1572,1021,872,896,588,88,1
